ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
4.9959,9.0397,5.4884,,,,,,,,,,85.0,6.51,-60.16,-33.51,58.17,-68.91,34.28,0.0,1020.43,73.527,50.36929,-4.138861,61.0,NaN,,0.0,3.0,,7 / 16,"$GPGSV,3,3,10,20,20,047,,29,03,082,*79::$GPGGA,183933,5022.157019,N,00408.332048,W,2,06,1.4,16.0,M,47.0,M,,*6B::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,1,1,0,*79::$GPRMC,183933,A,5022.157019,N,00408.332048,W,0.0,,260417,4.8,W,D*35::$GPGSA,A,3,04,16,18,21,26,27,,,,,,,1.7,1.4,0.9*30",4204,2017-04-26 19:39:57:402
-1.3898,7.7361,1.276,,,,,,,,,,44.0,5.06,-60.02,-37.98,237.08,-50.61,-42.31,0.0,1020.4,71.818,50.36929,-4.138861,61.0,NaN,,0.0,3.0,,11 / 26,"$GPGSV,3,3,10,20,20,047,,29,03,082,*79::$GPGGA,183934,5022.156898,N,00408.332100,W,2,07,1.7,16.0,M,47.0,M,,*63::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,10,67,12,014,,68,22,067,*6C::$GPRMC,183934,A,5022.156898,N,00408.332100,W,0.0,,260417,4.8,W,D*3F::$GPGSA,A,3,04,10,16,18,21,26,27,,,,,,1.9,1.7,0.9*3C",4404,2017-04-26 19:39:57:602
-1.3898,7.7361,1.276,,,,,,,,,,44.0,3.39,-59.9,-42.57,61.37,-76.29,47.44,0.0,1020.42,71.818,50.36929,-4.138861,61.0,NaN,,0.0,3.0,,11 / 26,"$GPGSV,3,3,10,20,20,047,,29,03,082,*79::$GPGGA,183934,5022.156898,N,00408.332100,W,2,07,1.7,16.0,M,47.0,M,,*63::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,10,67,12,014,,68,22,067,*6C::$GPRMC,183934,A,5022.156898,N,00408.332100,W,0.0,,260417,4.8,W,D*3F::$GPGSA,A,3,04,10,16,18,21,26,27,,,,,,1.9,1.7,0.9*3C",4603,2017-04-26 19:39:57:801
3.8403,7.4959,6.7554,,,,,,,,,,120.0,5.27,-55.8,-46.05,242.24,-43.97,-29.62,0.0,1020.42,74.593,50.36929,-4.138861,61.0,NaN,,0.0,3.0,,11 / 26,"$GPGSV,3,3,10,20,20,047,,29,03,082,*79::$GPGGA,183934,5022.156898,N,00408.332100,W,2,07,1.7,16.0,M,47.0,M,,*63::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,10,67,12,014,,68,22,067,*6C::$GPRMC,183934,A,5022.156898,N,00408.332100,W,0.0,,260417,4.8,W,D*3F::$GPGSA,A,3,04,10,16,18,21,26,27,,,,,,1.9,1.7,0.9*3C",4804,2017-04-26 19:39:58:002
-1.4882,9.307,5.373,,,,,,,,,,266.0,3.72,-49.44,-48.32,30.16,-59.08,15.48,0.0,1020.43,74.593,50.36929,-4.138861,61.0,NaN,,0.0,3.0,,11 / 26,"$GPGSV,3,3,10,20,20,047,,29,03,082,*79::$GPGGA,183934,5022.156898,N,00408.332100,W,2,07,1.7,16.0,M,47.0,M,,*63::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,10,67,12,014,,68,22,067,*6C::$GPRMC,183934,A,5022.156898,N,00408.332100,W,0.0,,260417,4.8,W,D*3F::$GPGSA,A,3,04,10,16,18,21,26,27,,,,,,1.9,1.7,0.9*3C",5004,2017-04-26 19:39:58:202
1.9443,6.9045,6.065,,,,,,,,,,266.0,3.72,-49.44,-48.32,30.16,-59.08,15.48,0.0,1020.43,72.63,50.369274,-4.138875,63.0,NaN,,0.0,4.0,,11 / 26,"$GPGSV,3,3,10,20,20,047,,29,03,082,*79::$GPGGA,183934,5022.156898,N,00408.332100,W,2,07,1.7,16.0,M,47.0,M,,*63::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,10,67,12,014,,68,22,067,*6C::$GPRMC,183934,A,5022.156898,N,00408.332100,W,0.0,,260417,4.8,W,D*3F::$GPGSA,A,3,04,10,16,18,21,26,27,,,,,,1.9,1.7,0.9*3C",5203,2017-04-26 19:39:58:401
4.4616,8.3025,5.1383,,,,,,,,,,196.0,-0.26,-45.52,-47.38,276.79,-47.31,-17.77,0.0,1020.41,71.487,50.369274,-4.138875,63.0,NaN,,0.0,4.0,,15 / 27,"$GPGSV,3,3,11,27,52,278,35,29,03,082,19,07,14,323,*4A::$GPGGA,183935,5022.156517,N,00408.332522,W,2,10,1.0,16.0,M,47.0,M,,*6D::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,10,83,23,056,,67,12,014,*6A::$GPRMC,183935,A,5022.156517,N,00408.332522,W,0.0,,260417,4.8,W,D*30::$GPGSA,A,3,04,08,10,16,18,20,21,26,27,29,,,1.4,1.0,0.9*37",5403,2017-04-26 19:39:58:601
-2.8371,7.4636,1.2514,,,,,,,,,,196.0,-2.51,-46.04,-46.96,292.13,-58.86,-36.03,0.0,1020.42,71.487,50.369274,-4.138875,63.0,NaN,,0.0,4.0,,15 / 27,"$GPGSV,3,3,11,27,52,278,35,29,03,082,19,07,14,323,*4A::$GPGGA,183935,5022.156517,N,00408.332522,W,2,10,1.0,16.0,M,47.0,M,,*6D::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,10,83,23,056,,67,12,014,*6A::$GPRMC,183935,A,5022.156517,N,00408.332522,W,0.0,,260417,4.8,W,D*30::$GPGSA,A,3,04,08,10,16,18,20,21,26,27,29,,,1.4,1.0,0.9*37",5604,2017-04-26 19:39:58:802
1.8156,7.0583,6.3155,,,,,,,,,,156.0,0.19,-46.59,-46.43,91.21,-67.44,66.2,0.0,1020.42,71.019,50.369274,-4.138875,63.0,NaN,,0.0,4.0,,15 / 27,"$GPGSV,3,3,11,27,52,278,35,29,03,082,19,07,14,323,*4A::$GPGGA,183935,5022.156517,N,00408.332522,W,2,10,1.0,16.0,M,47.0,M,,*6D::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,10,83,23,056,,67,12,014,*6A::$GPRMC,183935,A,5022.156517,N,00408.332522,W,0.0,,260417,4.8,W,D*30::$GPGSA,A,3,04,08,10,16,18,20,21,26,27,29,,,1.4,1.0,0.9*37",5804,2017-04-26 19:39:59:002
1.8156,7.0583,6.3155,,,,,,,,,,160.0,1.74,-46.95,-46.6,272.42,-47.05,-16.04,0.0,1020.42,71.019,50.369274,-4.138875,63.0,NaN,,0.0,4.0,,15 / 27,"$GPGSV,3,3,11,27,52,278,35,29,03,082,19,07,14,323,*4A::$GPGGA,183935,5022.156517,N,00408.332522,W,2,10,1.0,16.0,M,47.0,M,,*6D::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,10,83,23,056,,67,12,014,*6A::$GPRMC,183935,A,5022.156517,N,00408.332522,W,0.0,,260417,4.8,W,D*30::$GPGSA,A,3,04,08,10,16,18,20,21,26,27,29,,,1.4,1.0,0.9*37",6004,2017-04-26 19:39:59:202
